OBJECTID,SRA (at original adoption/recommendation),SRA (SRA22_2),FHSZ,FHSZ_Description,FHSZ_7Class,Shape__Area,Shape__Length
3167,,SRA,1,Moderate,SRA Moderate,101466.551094055,3190.90402734449
3168,,SRA,1,Moderate,SRA Moderate,3318300,15900
3169,,SRA,1,Moderate,SRA Moderate,486001.356664181,4682.8048270883
3170,,SRA,1,Moderate,SRA Moderate,2789.25086355209,278.562643778349
3171,,SRA,1,Moderate,SRA Moderate,46028.6640892029,1180.65753100064
3172,,SRA,1,Moderate,SRA Moderate,812.275499820709,114.16220278295
3173,,SRA,1,Moderate,SRA Moderate,1244546.82326841,9040.60810312511
3174,,SRA,1,Moderate,SRA Moderate,1740189.05801392,16529.7696922047
3175,,SRA,1,Moderate,SRA Moderate,122400,1980
3176,,SRA,1,Moderate,SRA Moderate,20955.8038063049,1338.0147028763
3177,,SRA,1,Moderate,SRA Moderate,869.704769134521,149.623720252008
3178,,SRA,1,Moderate,SRA Moderate,766460.257808685,8990.82511826198
3179,,SRA,1,Moderate,SRA Moderate,718913.132425308,8048.979009003
3180,,SRA,1,Moderate,SRA Moderate,1293.13499999046,163.104506865379
3181,,SRA,1,Moderate,SRA Moderate,10711.2777328491,523.556035740443
3182,,SRA,1,Moderate,SRA Moderate,61249.9091968536,1482.2521074966
