ZCTA5CE20,GEOID20,GEOIDFQ20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,FHSZ_mean,FHSZ_majority
"95762","95762",860Z200US95762,B5,G6350,S,"107711424","6228621","+38.6836885","-121.0647269",1.785714,1.000000
"92508","92508",860Z200US92508,B5,G6350,S,"28407495","0","+33.8903893","-117.3282568",2.000000,1.000000
"94158","94158",860Z200US94158,B5,G6350,S,"1423669","902191","+37.7725343","-122.3883839",0.000000,0.000000
"96136","96136",860Z200US96136,B5,G6350,S,"375057660","1752788","+40.3462300","-120.0813208",1.880000,2.000000
"96121","96121",860Z200US96121,B5,G6350,S,"85993727","32420","+40.1643933","-120.3800422",2.600000,3.000000
"95962","95962",860Z200US95962,B5,G6350,S,"98291152","2016247","+39.3234046","-121.2725490",2.200000,2.000000
"92555","92555",860Z200US92555,B5,G6350,S,"170327991","552216","+33.9109957","-117.1137654",2.074074,3.000000
"95692","95692",860Z200US95692,B5,G6350,S,"148209041","1994678","+39.0430660","-121.4098044",1.333333,1.000000
"92651","92651",860Z200US92651,B5,G6350,S,"57122661","7243869","+33.5714801","-117.7728894",2.500000,3.000000
"92549","92549",860Z200US92549,B5,G6350,S,"274702630","39213","+33.8038178","-116.6792727",2.416667,3.000000
"92264","92264",860Z200US92264,B5,G6350,S,"131952257","371292","+33.7128919","-116.4971072",2.666667,3.000000
"92544","92544",860Z200US92544,B5,G6350,S,"442403182","2188018","+33.6459340","-116.8816279",2.111111,3.000000
"92230","92230",860Z200US92230,B5,G6350,S,"30242142","0","+33.9087853","-116.7687818",2.142857,2.000000
"92543","92543",860Z200US92543,B5,G6350,S,"49551495","0","+33.6986453","-116.9791613",2.230769,3.000000
"90029","90029",860Z200US90029,B5,G6350,S,"3564133","0","+34.0898749","-118.2946307",3.000000,3.000000
"94533","94533",860Z200US94533,B5,G6350,S,"58341730","351351","+38.2807448","-122.0063799",1.178571,1.000000
"95465","95465",860Z200US95465,B5,G6350,S,"124522911","754153","+38.4173423","-123.0460122",2.000000,2.000000
"94592","94592",860Z200US94592,B5,G6350,S,"20746448","693234","+38.0909980","-122.2854178",0.000000,0.000000
"94585","94585",860Z200US94585,B5,G6350,S,"275032304","20893298","+38.1918321","-121.9382694",0.000000,0.000000
"95687","95687",860Z200US95687,B5,G6350,S,"115401949","703521","+38.3331329","-121.9201507",1.285714,1.000000
"94512","94512",860Z200US94512,B5,G6350,S,"57516671","91320","+38.1311499","-121.8217361",0.000000,0.000000
"90067","90067",860Z200US90067,B5,G6350,S,"1114110","0","+34.0564373","-118.4136903",0.000000,0.000000
"91206","91206",860Z200US91206,B5,G6350,S,"14927682","38612","+34.1603591","-118.2137690",3.000000,3.000000
"94950","94950",860Z200US94950,B5,G6350,S,"12549277","0","+38.0211609","-122.7617342",1.071429,1.000000
"91371","91371",860Z200US91371,B5,G6350,S,"541829","0","+34.1850148","-118.5760882",0.000000,0.000000
"94595","94595",860Z200US94595,B5,G6350,S,"13515581","0","+37.8720872","-122.0689708",2.333333,2.000000
"94598","94598",860Z200US94598,B5,G6350,S,"53389836","31195","+37.9169161","-122.0149174",2.200000,2.000000
"91773","91773",860Z200US91773,B5,G6350,S,"38787873","1010338","+34.1074851","-117.8087522",2.538462,3.000000
"91722","91722",860Z200US91722,B5,G6350,S,"10684279","3901","+34.0973329","-117.9067071",0.000000,0.000000
"91702","91702",860Z200US91702,B5,G6350,S,"168431743","3342720","+34.2815249","-117.8000901",3.000000,3.000000
"94564","94564",860Z200US94564,B5,G6350,S,"17688008","11462","+37.9905553","-122.2724989",2.000000,2.000000
"94553","94553",860Z200US94553,B5,G6350,S,"159631940","8464682","+37.9782987","-122.1571085",1.866667,1.000000
"94602","94602",860Z200US94602,B5,G6350,S,"9421092","0","+37.8052351","-122.2042292",2.500000,2.000000
"94569","94569",860Z200US94569,B5,G6350,S,"3330135","0","+38.0440915","-122.1919429",1.666667,2.000000
"94708","94708",860Z200US94708,B5,G6350,S,"8625006","31248","+37.9030665","-122.2619400",3.000000,3.000000
"94520","94520",860Z200US94520,B5,G6350,S,"25568241","83710","+37.9930277","-122.0352507",1.600000,2.000000
"94530","94530",860Z200US94530,B5,G6350,S,"11215508","0","+37.9207416","-122.3006348",3.000000,3.000000
"94588","94588",860Z200US94588,B5,G6350,S,"84795806","1026771","+37.7926484","-121.8628073",1.842105,2.000000
"94705","94705",860Z200US94705,B5,G6350,S,"8757323","0","+37.8652048","-122.2383838",2.333333,2.000000
"94548","94548",860Z200US94548,B5,G6350,S,"5984491","220815","+37.9742947","-121.6514409",0.000000,0.000000
"94560","94560",860Z200US94560,B5,G6350,S,"51997357","117972","+37.5042533","-122.0319104",0.000000,0.000000
"94568","94568",860Z200US94568,B5,G6350,S,"42720490","0","+37.7159657","-121.9011406",1.500000,1.000000
"94555","94555",860Z200US94555,B5,G6350,S,"35885287","8136","+37.5475942","-122.0982196",0.000000,0.000000
"94538","94538",860Z200US94538,B5,G6350,S,"42843746","253509","+37.5013676","-121.9567530",0.000000,0.000000
"95119","95119",860Z200US95119,B5,G6350,S,"11012497","8026","+37.2269709","-121.7886819",1.750000,2.000000
"92625","92625",860Z200US92625,B5,G6350,S,"6625815","908602","+33.6019660","-117.8642535",3.000000,3.000000
"92201","92201",860Z200US92201,B5,G6350,S,"41991715","20661","+33.7094532","-116.2369675",0.000000,0.000000
"92239","92239",860Z200US92239,B5,G6350,S,"1339073970","33472","+33.7680642","-115.2169301",0.000000,0.000000
"92663","92663",860Z200US92663,B5,G6350,S,"8523400","3485536","+33.6252036","-117.9287666",0.000000,0.000000
"92661","92661",860Z200US92661,B5,G6350,S,"1679631","3132323","+33.6035935","-117.9126723",0.000000,0.000000
"94014","94014",860Z200US94014,B5,G6350,S,"16555902","0","+37.6906888","-122.4477212",1.500000,1.000000
"90303","90303",860Z200US90303,B5,G6350,S,"5026333","14318","+33.9362911","-118.3326393",0.000000,0.000000
"90822","90822",860Z200US90822,B5,G6350,S,"420822","0","+33.7784357","-118.1186480",0.000000,0.000000
"94025","94025",860Z200US94025,B5,G6350,S,"21666154","3133","+37.4512520","-122.1823426",1.500000,1.000000
"94021","94021",860Z200US94021,B5,G6350,S,"28398312","0","+37.2503449","-122.2496358",2.000000,2.000000
"93510","93510",860Z200US93510,B5,G6350,S,"207399594","35388","+34.4509057","-118.2276141",2.857143,3.000000
"91350","91350",860Z200US91350,B5,G6350,S,"41091778","61502","+34.4305995","-118.5027738",2.625000,3.000000
"93437","93437",860Z200US93437,B5,G6350,S,"128488317","273082","+34.7606439","-120.5088770",2.428571,3.000000
"95993","95993",860Z200US95993,B5,G6350,S,"218288633","96625","+39.0824967","-121.6801142",0.000000,0.000000
"95442","95442",860Z200US95442,B5,G6350,S,"64648931","93385","+38.3782179","-122.5164875",2.047619,3.000000
"92655","92655",860Z200US92655,B5,G6350,S,"2337583","0","+33.7460289","-117.9876019",0.000000,0.000000
"92610","92610",860Z200US92610,B5,G6350,S,"10464899","0","+33.6833629","-117.6540797",3.000000,3.000000
"92868","92868",860Z200US92868,B5,G6350,S,"8907948","0","+33.7879671","-117.8763428",0.000000,0.000000
"94720","94720",860Z200US94720,B5,G6350,S,"1824691","0","+37.8719571","-122.2521978",3.000000,3.000000
"90502","90502",860Z200US90502,B5,G6350,S,"5799107","33313","+33.8331813","-118.2920619",0.000000,0.000000
